cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,duration_sec,think_min_ms,think_max_ms,eat_min_ms,eat_max_ms,wall_time_ms,total_meals,meals_per_phil,wait_mean_us,wait_p50_us,wait_p95_us,wait_p99_us,wait_max_us,deadlocked,test,rep_idx
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 50 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,0,10.2,1.18,1.25,23.0,51280,8614,0,17961,46,120,64,0,2026-05-15T11:57:44,java-monitor,50,10.0,10,50,10,50,10052.891,6031,"[121, 122, 125, 122, 122, 119, 125, 117, 121, 117, 119, 116, 128, 120, 123, 123, 119, 122, 120, 120, 122, 117, 123, 126, 122, 118, 123, 121, 118, 121, 121, 123, 117, 119, 121, 126, 124, 119, 118, 123, 122, 120, 117, 115, 123, 117, 114, 119, 118, 123]",20782.661,16738.192,58438.797,86169.672,148847.808,False,dp-large-N,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 50 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,1,10.09,1.09,1.09,21.0,51312,8670,0,18009,79,0,64,0,2026-05-15T11:57:54,java-monitor,50,10.0,10,50,10,50,10028.688,6048,"[125, 125, 121, 126, 124, 117, 122, 122, 122, 117, 120, 118, 124, 124, 120, 121, 123, 124, 120, 120, 117, 121, 122, 123, 124, 122, 124, 122, 125, 121, 119, 122, 115, 124, 121, 121, 121, 120, 120, 120, 115, 118, 116, 120, 124, 117, 117, 122, 117, 123]",20585.705,16975.568,57403.837,86391.464,171516.843,False,dp-large-N,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 50 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,2,10.11,1.14,1.0,21.0,50924,8590,0,17801,48,0,64,0,2026-05-15T11:58:04,java-monitor,50,10.0,10,50,10,50,10027.421,6026,"[119, 127, 119, 122, 116, 123, 123, 119, 122, 116, 125, 120, 121, 123, 123, 125, 118, 125, 118, 117, 121, 116, 125, 124, 119, 119, 123, 118, 123, 121, 114, 122, 123, 122, 116, 127, 120, 123, 116, 119, 121, 122, 120, 123, 123, 116, 118, 119, 114, 118]",20801.987,16810.567,58524.922,86678.131,179052.437,False,dp-large-N,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 100 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,0,10.11,1.55,1.73,32.0,56456,10144,0,35399,97,0,64,0,2026-05-15T11:58:14,java-monitor,100,10.0,10,50,10,50,10038.317,12133,"[119, 127, 121, 128, 121, 124, 117, 120, 121, 124, 123, 123, 126, 123, 119, 126, 120, 122, 118, 122, 122, 117, 124, 124, 121, 123, 125, 121, 125, 123, 120, 118, 123, 123, 118, 123, 120, 118, 122, 124, 122, 117, 118, 122, 124, 119, 121, 124, 122, 117, 120, 115, 125, 127, 120, 121, 121, 120, 119, 126, 121, 122, 122, 124, 121, 125, 117, 124, 117, 123, 123, 119, 118, 121, 126, 125, 117, 120, 122, 119, 118, 120, 118, 121, 124, 124, 121, 120, 119, 117, 122, 123, 120, 120, 116, 119, 121, 125, 123, 118]",20739.952,17083.817,57155.128,89726.76,185149.197,False,dp-large-N,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 100 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,1,10.1,1.51,1.73,32.0,56220,11064,0,35344,92,0,64,0,2026-05-15T11:58:24,java-monitor,100,10.0,10,50,10,50,10038.57,12136,"[126, 122, 122, 123, 125, 122, 122, 121, 126, 120, 119, 122, 124, 124, 121, 128, 121, 128, 119, 123, 120, 119, 124, 124, 119, 126, 123, 118, 123, 121, 119, 122, 118, 124, 124, 125, 123, 120, 122, 120, 120, 118, 121, 119, 123, 116, 118, 122, 117, 120, 123, 119, 119, 126, 121, 121, 122, 120, 122, 123, 122, 122, 121, 118, 124, 123, 121, 123, 117, 123, 125, 118, 123, 124, 123, 121, 121, 121, 119, 118, 120, 117, 120, 116, 124, 125, 121, 121, 120, 117, 123, 121, 122, 118, 118, 124, 120, 120, 122, 118]",20780.874,16713.183,58247.629,90734.137,177802.935,False,dp-large-N,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 100 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,2,10.11,1.46,1.92,33.0,56924,10185,0,35472,123,0,64,0,2026-05-15T11:58:34,java-monitor,100,10.0,10,50,10,50,10048.971,12151,"[121, 124, 123, 122, 123, 120, 122, 118, 120, 120, 123, 120, 127, 124, 123, 128, 120, 126, 121, 121, 121, 116, 124, 125, 125, 125, 123, 122, 124, 121, 114, 122, 123, 123, 123, 122, 124, 122, 123, 116, 121, 121, 117, 122, 125, 121, 119, 121, 123, 120, 121, 117, 126, 127, 123, 120, 120, 120, 121, 122, 124, 123, 118, 122, 123, 123, 121, 118, 121, 127, 125, 123, 121, 122, 122, 122, 118, 119, 123, 121, 121, 120, 118, 114, 124, 123, 118, 119, 118, 123, 124, 117, 122, 118, 117, 120, 115, 125, 126, 122]",20746.262,17196.892,57163.516,87421.921,178763.307,False,dp-large-N,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 200 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,0,10.11,1.79,2.67,44.0,71976,15623,0,71429,207,0,64,0,2026-05-15T11:58:44,java-monitor,200,10.0,10,50,10,50,10057.222,24622,"[123, 127, 123, 124, 120, 119, 125, 124, 124, 118, 126, 122, 128, 125, 120, 124, 125, 124, 118, 118, 125, 123, 126, 128, 120, 128, 130, 124, 122, 125, 120, 118, 118, 124, 123, 126, 123, 120, 120, 120, 128, 121, 120, 122, 128, 122, 121, 124, 122, 120, 122, 119, 120, 129, 123, 124, 124, 123, 120, 127, 118, 127, 119, 124, 123, 121, 121, 120, 122, 128, 129, 117, 123, 123, 123, 128, 120, 119, 124, 122, 124, 124, 120, 116, 123, 123, 119, 122, 126, 122, 121, 120, 123, 119, 115, 122, 121, 124, 124, 125, 123, 126, 121, 118, 118, 123, 121, 128, 124, 124, 124, 123, 120, 127, 132, 119, 125, 126, 124, 129, 122, 120, 123, 119, 125, 122, 127, 121, 124, 122, 129, 122, 125, 124, 130, 123, 125, 121, 120, 122, 122, 128, 121, 127, 124, 120, 124, 128, 130, 123, 123, 127, 123, 125, 128, 125, 126, 124, 122, 123, 122, 126, 127, 127, 128, 122, 117, 122, 121, 128, 118, 123, 121, 126, 123, 120, 121, 127, 121, 125, 121, 128, 127, 126, 122, 119, 127, 123, 126, 126, 123, 118, 123, 119, 125, 123, 121, 123, 122, 118]",20444.984,16551.1,57037.476,88197.132,191369.658,False,dp-large-N,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 200 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,1,10.12,1.86,2.71,45.0,69020,14381,0,71387,157,0,64,0,2026-05-15T11:58:54,java-monitor,200,10.0,10,50,10,50,10066.834,24609,"[122, 129, 123, 122, 125, 122, 127, 125, 123, 120, 125, 124, 126, 124, 123, 129, 122, 127, 118, 123, 122, 120, 123, 123, 126, 124, 124, 119, 123, 132, 119, 121, 121, 122, 125, 124, 123, 120, 122, 122, 125, 120, 118, 120, 126, 122, 118, 124, 120, 123, 122, 119, 126, 127, 125, 122, 123, 122, 126, 120, 123, 129, 118, 122, 122, 126, 122, 123, 120, 123, 126, 122, 121, 121, 122, 128, 118, 122, 123, 122, 119, 117, 124, 116, 120, 123, 126, 120, 123, 121, 123, 119, 122, 117, 118, 120, 121, 124, 126, 124, 122, 118, 129, 120, 125, 123, 126, 124, 126, 126, 123, 122, 124, 122, 133, 124, 122, 129, 126, 125, 128, 119, 121, 124, 123, 126, 127, 125, 122, 124, 121, 124, 126, 116, 128, 121, 124, 122, 118, 124, 123, 123, 125, 124, 124, 121, 120, 127, 122, 128, 117, 127, 125, 127, 126, 124, 124, 125, 119, 118, 122, 127, 125, 127, 126, 123, 122, 120, 120, 127, 121, 126, 119, 124, 122, 126, 122, 124, 119, 123, 123, 128, 124, 122, 125, 125, 124, 123, 125, 125, 124, 119, 124, 123, 124, 124, 122, 119, 117, 125]",20462.143,16502.893,57500.187,87165.801,223167.699,False,dp-large-N,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 200 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,2,10.11,1.74,2.72,44.0,68888,14564,0,71402,212,0,64,0,2026-05-15T11:59:05,java-monitor,200,10.0,10,50,10,50,10053.766,24614,"[119, 129, 124, 124, 122, 118, 124, 124, 120, 125, 119, 122, 130, 127, 122, 129, 120, 124, 122, 122, 122, 119, 125, 124, 125, 126, 123, 124, 122, 125, 117, 124, 120, 123, 125, 124, 122, 124, 125, 122, 119, 121, 123, 123, 122, 120, 122, 122, 122, 121, 121, 122, 126, 122, 128, 120, 122, 123, 125, 128, 122, 129, 121, 122, 126, 125, 121, 124, 121, 124, 126, 123, 124, 120, 129, 125, 119, 124, 125, 118, 123, 119, 119, 119, 125, 124, 124, 124, 120, 120, 129, 120, 123, 118, 123, 123, 123, 125, 126, 125, 119, 119, 121, 121, 123, 123, 122, 129, 122, 122, 128, 126, 117, 127, 126, 123, 120, 131, 122, 129, 120, 126, 119, 122, 126, 124, 125, 124, 127, 118, 124, 124, 120, 125, 133, 122, 124, 119, 116, 119, 119, 124, 123, 127, 121, 118, 120, 127, 124, 122, 124, 126, 127, 126, 122, 121, 127, 128, 118, 124, 125, 124, 123, 131, 128, 124, 123, 119, 124, 125, 121, 125, 120, 122, 122, 123, 124, 124, 120, 122, 122, 124, 126, 124, 124, 124, 122, 119, 129, 122, 122, 120, 118, 121, 125, 123, 121, 118, 123, 124]",20404.189,16541.393,57282.438,88252.305,173471.773,False,dp-large-N,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 50 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,0,10.1,0.78,0.7,14.0,49180,7948,0,10662,43,8,64,0,2026-05-15T11:59:15,java-semaphore,50,10.0,10,50,10,50,10029.607,2881,"[61, 61, 60, 62, 61, 60, 58, 57, 57, 58, 58, 58, 57, 56, 56, 58, 56, 56, 57, 57, 59, 58, 57, 57, 57, 57, 59, 59, 57, 56, 55, 56, 56, 55, 56, 55, 55, 57, 56, 58, 57, 57, 57, 58, 58, 57, 58, 59, 61, 60]",106595.613,54455.561,475950.867,790551.813,868898.109,False,dp-large-N,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 50 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,1,10.07,0.71,0.78,14.0,49460,7917,0,12269,42,0,64,0,2026-05-15T11:59:25,java-semaphore,50,10.0,10,50,10,50,10021.211,3349,"[70, 69, 69, 67, 65, 65, 64, 63, 63, 65, 68, 68, 69, 69, 70, 71, 68, 67, 65, 65, 66, 67, 67, 67, 66, 69, 69, 67, 66, 66, 66, 66, 67, 66, 66, 65, 65, 65, 67, 67, 67, 67, 68, 68, 67, 68, 68, 68, 69, 69]",85826.385,55391.313,263503.138,387068.782,482308.976,False,dp-large-N,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 50 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,2,10.12,0.93,0.98,18.0,49336,8015,0,13494,62,0,64,0,2026-05-15T11:59:35,java-semaphore,50,10.0,10,50,10,50,10044.042,3735,"[79, 80, 76, 78, 78, 78, 77, 76, 77, 76, 80, 83, 83, 81, 78, 76, 73, 73, 69, 73, 73, 75, 71, 72, 71, 71, 74, 74, 70, 72, 71, 71, 70, 70, 69, 70, 72, 75, 77, 76, 74, 71, 76, 75, 73, 75, 73, 75, 78, 77]",70589.472,50267.56,219580.714,303667.943,445444.229,False,dp-large-N,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 100 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,0,10.1,1.39,2.21,35.0,54556,9463,0,27709,127,0,64,0,2026-05-15T11:59:45,java-semaphore,100,10.0,10,50,10,50,10042.933,7790,"[75, 75, 77, 77, 77, 77, 76, 75, 76, 78, 78, 82, 80, 81, 80, 80, 80, 80, 78, 78, 78, 78, 78, 78, 76, 78, 80, 77, 76, 75, 75, 76, 77, 77, 76, 74, 73, 72, 74, 76, 75, 74, 77, 77, 78, 78, 78, 79, 81, 81, 81, 80, 79, 82, 80, 82, 81, 80, 80, 80, 78, 79, 79, 80, 81, 82, 81, 82, 80, 81, 83, 81, 80, 81, 81, 81, 79, 76, 80, 78, 79, 83, 78, 77, 77, 73, 76, 76, 75, 74, 75, 76, 78, 77, 77, 75, 75, 74, 73, 72]",65618.32,45795.472,199048.57,286157.882,393764.719,False,dp-large-N,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 100 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,1,10.1,1.14,2.07,31.0,54448,9409,0,24382,105,0,64,0,2026-05-15T11:59:55,java-semaphore,100,10.0,10,50,10,50,10057.275,6757,"[73, 70, 70, 70, 71, 70, 68, 69, 68, 70, 72, 71, 69, 68, 64, 64, 63, 61, 60, 62, 62, 63, 63, 65, 64, 65, 66, 66, 65, 65, 63, 65, 64, 65, 66, 66, 68, 67, 67, 68, 67, 69, 69, 70, 68, 67, 69, 70, 69, 70, 70, 70, 69, 70, 68, 68, 67, 70, 69, 70, 67, 67, 66, 68, 68, 69, 66, 67, 67, 68, 67, 66, 62, 61, 62, 65, 63, 64, 68, 68, 68, 70, 69, 72, 71, 67, 68, 68, 66, 70, 70, 71, 72, 73, 72, 73, 72, 71, 70, 70]",84657.872,54172.316,267530.701,429484.729,561824.432,False,dp-large-N,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 100 --duration-sec 10 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 42 --deadlock-window-ms 5000,2,10.12,1.33,2.18,34.0,56052,9899,0,27415,101,0,64,0,2026-05-15T12:00:05,java-semaphore,100,10.0,10,50,10,50,10049.585,7684,"[76, 78, 77, 75, 73, 75, 74, 73, 75, 73, 74, 74, 74, 74, 75, 76, 73, 70, 70, 72, 72, 74, 71, 74, 73, 76, 76, 73, 73, 75, 74, 73, 75, 76, 79, 79, 78, 79, 77, 76, 82, 80, 81, 83, 81, 79, 79, 79, 83, 81, 83, 82, 82, 83, 81, 81, 80, 80, 78, 79, 79, 79, 80, 78, 79, 79, 79, 81, 78, 77, 78, 76, 75, 78, 78, 79, 76, 76, 79, 77, 78, 79, 79, 79, 79, 75, 74, 74, 73, 75, 75, 74, 76, 77, 77, 75, 76, 75, 77, 75]",67386.359,48351.102,202357.376,269457.958,342028.588,False,dp-large-N,2
